
,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
692,Pat Maroon\maroopa01,STL,LW,0:54,74,,12:13,0.4,2.5,2.7,,1:57,3.9,8.8,0.0,,0:00,,0.0,0.0
693,Patric Hornqvist\hornqpa01,PIT,RW,0:41,69,,12:45,2.2,2.8,2.5,,2:42,5.9,11.0,2.4,,0:00,,0.0,0.0
694,Patrice Bergeron\bergepa01,BOS,C,0:50,65,,13:30,6.1,4.3,2.8,,3:15,13.4,12.4,1.7,,1:41,4.9,3.8,7.6
695,Patrick Eaves\eavespa01,ANA,RW,0:40,7,,12:18,-8.5,1.4,3.5,,1:33,5.8,5.5,5.5,,0:00,,,
696,Patrick Kane\kanepa01,CHI,RW,1:03,81,,18:43,0.6,4.0,3.7,,3:42,4.5,8.4,1.0,,0:03,17.0,0.0,0.0
697,Patrick Marleau\marlepa01,TOR,C,0:48,82,,14:30,-1.9,2.9,2.9,,1:45,-2.1,6.8,2.0,,0:04,18.2,0.0,11.4
698,Patrick Russell\russepa01,EDM,RW,0:38,6,,8:09,18.1,0.0,0.0,,0:10,,0.0,0.0,,0:27,-14.6,0.0,0.0
699,Patrik Berglund\berglpa01,BUF,C,0:47,23,,11:22,-1.5,1.4,2.5,,0:32,-4.1,4.8,0.0,,1:07,-5.8,0.0,4.7
700,Patrik Laine\lainepa01,WPG,RW,0:52,82,,13:42,-3.5,2.7,3.7,,3:30,1.9,9.6,1.0,,0:00,,0.0,0.0
701,Patrik Nemeth\nemetpa01,COL,D,0:42,74,,13:14,-3.4,2.5,2.3,,0:01,,0.0,0.0,,3:13,-0.1,1.0,5.8
702,Paul Byron\byronpa01,MTL,C/LW,0:43,56,,12:06,-2.6,3.5,2.3,,1:04,0.7,5.9,0.0,,1:23,-3.8,2.3,7.6
703,Paul Carey\careypa01,TOT,C,0:58,7,,10:25,-7.2,0.0,0.0,,0:02,,,,,0:11,-10.4,0.0,0.0
704,Paul Ladue\laduepa01,LAK,D,0:50,33,,13:03,2.2,2.2,2.2,,0:03,18.5,0.0,0.0,,0:06,8.3,0.0,34.0
705,Paul Stastny\stastpa01,VEG,C,0:52,50,,14:58,3.0,3.9,2.8,,2:02,0.0,5.1,1.1,,1:05,-5.4,2.2,9.9
706,Pavel Buchnevich\buchnpa01,NYR,LW,0:51,64,,13:13,2.2,2.6,3.2,,1:57,-4.7,8.6,1.4,,0:00,,0.0,0.0
707,Pavel Zacha\zachapa01,NJD,C,0:55,61,,12:12,-0.8,2.5,3.2,,1:41,-5.2,7.1,0.5,,2:10,-0.2,1.3,4.4
708,Peter Cehlarik\cehlape01,BOS,LW,0:56,20,,11:21,7.4,2.4,1.6,,1:13,2.7,4.9,0.0,,0:00,,,
709,Phil Kessel\kesseph01,PIT,RW,0:53,82,,14:45,-2.7,2.8,3.1,,3:12,1.6,9.6,2.8,,0:00,,0.0,0.0
710,Phil Varone\varonph01,PHI,C,0:48,47,,7:49,-3.3,2.0,2.3,,0:02,-9.9,0.0,0.0,,0:02,-13.4,0.0,0.0
711,Philippe Myers\myersph01,PHI,D,0:45,21,,14:29,4.8,2.0,3.0,,0:08,16.2,0.0,0.0,,0:43,8.6,0.0,6.6
712,Phillip Danault\danauph01,MTL,LW,0:43,81,,14:47,3.9,3.7,2.9,,0:28,5.5,9.1,0.0,,2:30,2.1,0.6,6.8
713,Phillip Di Giuseppe\digiuph01,TOT,LW,0:36,24,,9:42,-1.9,2.1,2.7,,0:23,-1.8,0.0,0.0,,0:02,-20.4,0.0,0.0
714,Pierre-Edouard Bellemare\bellepi01,VEG,LW,0:52,76,,10:23,-1.2,2.2,2.3,,0:04,12.2,0.0,0.0,,1:56,-10.6,1.2,7.3
715,Pierre-Luc Dubois\duboipi01,CBJ,LW,0:43,82,,15:14,2.8,4.1,3.3,,2:17,1.2,6.0,0.6,,0:10,-4.9,0.0,8.2
716,Pontus Aberg\abergpo01,TOT,LW,0:44,59,,12:30,-4.1,1.3,2.3,,2:04,4.5,6.6,0.0,,0:00,,,
717,Quinn Hughes\hughequ01,VAN,D,0:54,5,,16:48,13.0,1.4,1.4,,1:16,2.4,28.1,0.0,,0:00,,,
718,Radek Faksa\faksara01,DAL,C,0:46,81,,13:55,-3.7,2.0,2.3,,0:53,1.8,5.5,0.0,,1:37,-0.5,1.4,5.5
719,Radim Simek\simekra01,SJS,D,0:45,41,,14:19,1.4,3.1,2.6,,0:02,-20.6,0.0,0.0,,0:50,7.7,1.4,5.8
720,Radko Gudas\gudasra01,PHI,D,0:41,77,,15:13,0.7,2.7,2.5,,0:01,-35.3,44.4,0.0,,2:37,0.4,0.6,7.0
721,Rasmus Andersson\anderra01,CGY,D,0:39,79,,14:40,-3.0,2.8,2.0,,1:00,4.2,6.0,0.7,,0:22,-1.4,2.2,4.3
722,Rasmus Dahlin\dahlira01,BUF,D,0:51,82,,18:08,4.5,2.7,3.0,,2:51,-0.4,7.2,1.5,,0:09,-4.5,0.0,4.6
723,Rasmus Ristolainen\ristora01,BUF,D,0:54,78,,19:27,-3.0,2.3,3.7,,3:00,0.3,7.5,1.8,,2:10,1.2,0.4,7.4
724,Reid Boucher\bouchre01,VAN,C,0:32,1,,5:28,5.2,0.0,0.0,,0:00,,,,,0:00,,,
725,Reilly Smith\smithre01,VEG,RW,0:43,74,,14:16,-0.3,3.2,2.7,,2:27,1.8,7.6,0.0,,1:32,17.4,2.1,4.7
726,Rem Pitlick\pitlire01,NSH,C,0:41,1,,9:43,-5.4,0.0,0.0,,0:00,,0.0,0.0,,0:00,,,
727,Remi Elie\eliere01,BUF,LW,0:40,16,,9:12,-7.7,0.4,1.6,,0:04,9.8,0.0,0.0,,1:04,0.7,0.0,10.5
728,Richard Panik\panikri01,ARI,RW,0:58,75,,13:25,2.6,2.8,2.9,,1:59,-4.5,3.2,1.2,,1:11,3.3,1.9,7.6
729,Rickard Rakell\rakelri01,ANA,RW,0:42,69,,15:34,2.3,2.5,3.1,,2:26,6.6,7.6,1.0,,0:26,4.1,0.0,4.1
730,Riley Nash\nashri02,CBJ,C,0:39,78,,10:27,-1.3,1.7,2.2,,0:04,-11.1,0.0,0.0,,0:17,-16.8,0.0,18.6
731,Riley Sheahan\sheahri01,TOT,C,0:34,82,,11:25,-7.7,1.9,3.0,,0:03,-34.6,0.0,0.0,,1:59,-5.7,1.2,7.6
732,Riley Stillman\stillri01,FLA,D,0:35,1,,11:22,31.3,5.3,5.3,,0:00,,,,,0:00,,,
733,Robby Fabbri\fabbrro01,STL,C,0:44,32,,11:44,-7.2,2.6,2.9,,0:53,-9.4,6.3,4.2,,0:01,-13.7,0.0,0.0
734,Robert Bortuzzo\borturo01,STL,D,0:37,59,,13:05,2.1,3.1,2.4,,0:02,12.0,0.0,0.0,,2:20,-1.4,0.4,3.8
735,Robert Hagg\haggro01,PHI,D,0:43,82,,15:07,-6.7,2.8,3.0,,0:03,-5.6,0.0,0.0,,1:46,-3.2,0.4,7.7
736,Robert Thomas\thomaro01,STL,C,0:46,70,,11:39,-0.1,2.6,2.6,,1:16,0.7,8.1,1.3,,0:08,-3.6,0.0,13.0
737,Rocco Grimaldi\grimaro01,NSH,C,0:44,53,,9:57,6.8,1.6,1.8,,0:01,14.4,0.0,0.0,,0:01,-15.7,0.0,0.0
738,Roman Josi\josiro01,NSH,D,0:54,82,,19:35,-0.6,3.1,2.7,,2:58,3.7,4.2,1.2,,2:35,1.1,1.1,6.2
739,Roman Polak\polakro01,DAL,D,0:42,77,,16:29,-6.7,2.0,1.9,,0:02,-52.6,0.0,0.0,,2:38,-7.1,0.6,6.8
740,Ron Hainsey\hainsro01,TOR,D,0:57,81,,17:22,-4.2,3.8,2.6,,0:02,-2.1,5.2,0.0,,2:50,-1.5,1.0,8.4
741,Roope Hintz\hintzro01,DAL,LW,0:37,58,,12:01,-0.6,1.8,2.7,,1:45,-2.7,5.6,0.6,,0:16,5.8,0.0,7.7
742,Ross Johnston\johnsro02,NYI,LW,0:42,17,,7:52,2.5,3.1,1.8,,0:00,,0.0,0.0,,0:02,-8.3,0.0,0.0
743,Rourke Chartier\chartro01,SJS,C,0:39,13,,8:58,-4.8,1.0,3.6,,0:01,,0.0,0.0,,0:23,-21.1,0.0,0.0
744,Rudolfs Balcers\balceru01,OTT,LW,0:42,36,,10:41,-2.9,1.9,2.7,,1:26,-3.6,8.1,2.3,,0:13,10.7,0.0,7.4
745,Ryan Callahan\callary01,TBL,RW,0:45,52,,10:00,-4.7,2.9,2.2,,0:06,-15.3,10.2,0.0,,1:01,1.0,1.1,7.9
746,Ryan Carpenter\carpery01,VEG,C,0:41,68,,11:10,3.9,2.3,3.0,,0:12,2.3,0.0,0.0,,1:15,-1.0,2.1,8.5
747,Ryan Donato\donatry01,TOT,C,0:46,56,,11:37,2.0,2.2,2.8,,2:04,-4.0,8.5,1.4,,0:00,,0.0,0.0
748,Ryan Dzingel\dzingry01,TOT,C,0:47,78,,15:01,-3.4,3.1,2.1,,1:46,2.7,4.7,4.7,,0:00,-16.3,0.0,0.0
749,Ryan Ellis\ellisry01,NSH,D,0:48,82,,19:14,-2.1,3.3,2.4,,2:05,4.8,4.2,1.4,,2:40,0.3,1.1,6.3
750,Ryan Getzlaf\getzlry01,ANA,C,0:55,67,,16:08,5.0,2.8,3.6,,2:41,-0.6,4.3,1.7,,0:37,-2.7,0.0,5.8
751,Ryan Graves\gravery01,COL,D,0:44,26,,9:53,-0.7,3.0,2.3,,0:00,,0.0,0.0,,1:12,5.1,1.9,3.8
752,Ryan Hartman\hartmry01,TOT,RW,0:35,83,,12:26,-0.2,2.8,2.3,,0:15,-16.7,2.8,2.8,,0:25,0.9,1.7,8.7
753,Ryan Johansen\johanry01,NSH,C,0:51,80,,15:05,3.9,3.8,3.5,,3:02,5.1,5.4,1.0,,1:25,8.1,2.1,2.1
754,Ryan Kesler\keslery01,ANA,C,0:46,60,,12:30,-5.1,1.2,2.2,,1:43,-3.2,4.0,3.4,,2:15,-5.5,0.0,10.7
755,Ryan Kuffner\kuffnry01,DET,LW,0:47,10,,10:02,-8.3,0.0,1.8,,0:53,0.6,6.7,6.7,,0:00,,,
756,Ryan Lindgren\lindgry01,NYR,D,0:42,5,,13:51,2.8,0.9,6.1,,0:00,,,,,0:43,6.4,0.0,0.0
757,Ryan Lomberg\lombery01,CGY,LW,0:31,4,,6:32,-29.0,0.0,0.0,,0:26,,0.0,0.0,,0:00,,,
758,Ryan McDonagh\mcdonry01,TBL,D,0:50,82,,18:16,-2.6,3.8,2.5,,0:39,-0.6,8.8,0.0,,3:08,-3.3,1.4,4.9
759,Ryan Murphy\murphry01,TOT,D,0:49,3,,10:12,-9.6,3.1,0.0,,0:57,,,,,0:00,,,
760,Ryan Murray\murrary01,CBJ,D,0:50,56,,18:18,-0.2,3.7,2.8,,0:36,-5.8,1.8,0.0,,2:31,-2.8,1.7,5.5
761,Ryan Nugent-Hopkins\nugenry01,EDM,C,0:44,82,,15:09,-3.3,2.8,3.4,,3:14,5.4,9.3,0.9,,1:41,0.1,1.3,9.5
762,Ryan O'Reilly\oreilry01,STL,C,0:59,82,,15:54,2.9,3.4,2.4,,2:51,0.8,8.5,1.0,,1:59,-0.8,1.1,4.6
763,Ryan Poehling\poehlry01,MTL,C,0:35,1,,10:40,20.5,16.9,0.0,,0:00,,,,,0:42,0.0,0.0,0.0
764,Ryan Pulock\pulocry01,NYI,D,0:46,82,,18:42,-1.4,2.9,2.0,,1:52,-1.3,4.1,0.0,,1:45,1.6,0.0,8.0
765,Ryan Reaves\reavery01,VEG,RW,0:54,80,,10:08,0.3,1.9,1.9,,0:43,-5.3,7.7,0.0,,0:00,,,
766,Ryan Spooner\spoonry01,TOT,C,0:37,52,,10:18,-7.1,1.4,2.4,,1:06,7.2,4.4,2.2,,0:00,,0.0,0.0
767,Ryan Strome\stromry01,TOT,C,0:42,81,,13:07,-0.9,2.7,2.7,,1:20,0.7,5.9,1.5,,1:06,1.1,0.0,10.1
768,Ryan Suter\suterry01,MIN,D,0:46,82,,21:19,1.2,2.7,3.0,,3:03,-0.2,6.3,0.7,,2:18,0.3,1.3,8.7
769,Saku Maenalanen\maenasa01,CAR,RW,0:37,34,,9:00,-5.3,2.5,2.5,,0:05,-3.5,0.0,0.0,,0:20,-3.0,0.0,5.1
770,Sam Bennett\bennesa01,CGY,C,0:41,71,,11:33,-0.2,2.6,2.9,,1:32,-1.7,5.5,1.1,,0:11,4.2,0.0,8.8
771,Sam Carrick\carrisa01,ANA,C,0:42,6,,9:58,-7.7,1.0,2.0,,0:00,,,,,0:14,38.2,0.0,0.0
772,Sam Gagner\gagnesa01,TOT,C,0:42,32,,13:08,5.6,2.7,3.0,,1:25,-0.5,2.6,2.6,,0:01,,,
773,Sam Reinhart\reinhsa01,BUF,C,1:09,82,,15:40,2.9,3.2,3.3,,3:12,1.7,7.3,1.8,,0:04,-3.9,0.0,10.2
774,Sam Steel\steelsa01,ANA,C,0:44,22,,12:51,-1.6,2.6,1.9,,1:35,-12.9,3.3,5.0,,0:31,3.9,5.4,5.4
775,Sami Niku\nikusa01,WPG,D,0:56,30,,13:46,-2.4,2.2,2.2,,0:07,14.0,0.0,0.0,,0:01,,0.0,0.0
776,Sami Vatanen\vatansa01,NJD,D,0:47,50,,17:33,0.0,2.6,3.8,,2:15,2.0,3.9,0.0,,1:54,-9.9,0.0,5.9
777,Sammy Blais\blaissa01,STL,LW,0:36,32,,9:39,-0.5,1.9,2.1,,0:11,-1.8,19.3,0.0,,0:00,,,
778,Samuel Girard\girarsa01,COL,D,0:56,82,,17:44,-1.5,2.6,2.2,,2:00,1.3,7.4,0.7,,0:08,19.0,0.0,10.8
779,Samuel Morin\morinsa01,PHI,D,0:42,5,,11:27,0.7,1.0,4.2,,0:00,11.5,0.0,0.0,,0:54,1.9,0.0,0.0
780,Scott Harrington\harrisc01,CBJ,D,0:44,73,,12:07,-3.1,2.6,2.4,,0:00,14.0,0.0,0.0,,0:55,1.4,2.7,3.6
781,Scott Laughton\laughsc01,PHI,C,0:50,82,,12:26,-6.1,2.7,3.4,,0:09,-12.2,0.0,4.8,,2:14,-1.7,0.6,9.2
782,Scott Mayfield\mayfisc01,NYI,D,0:44,79,,16:22,2.0,2.5,1.8,,0:01,13.3,0.0,0.0,,2:19,-3.9,1.3,5.9
783,Scott Wilson\wilsosc01,BUF,C/LW,0:44,15,,10:09,-1.7,1.2,4.3,,0:00,,0.0,0.0,,1:17,-5.2,0.0,9.3
784,Sean Couturier\coutuse01,PHI,C,0:50,80,,16:41,7.0,3.9,3.8,,3:07,8.9,7.5,0.7,,2:18,2.6,0.3,6.1
785,Sean Kuraly\kuralse01,BOS,C,0:49,71,,12:24,-4.4,1.8,1.4,,0:03,-83.0,0.0,14.2,,1:18,-3.0,0.0,7.8
786,Sean Monahan\monahse01,CGY,C,0:49,78,,15:40,0.1,3.8,3.3,,3:18,3.5,9.8,0.9,,0:03,26.5,0.0,19.7
787,Sean Walker\walkese01,LAK,D,0:44,39,,15:12,3.6,2.5,3.3,,0:08,-11.8,11.3,0.0,,0:05,-11.0,0.0,0.0
788,Sebastian Aho\ahose01,CAR,C,0:45,82,,16:02,3.4,3.7,2.6,,3:00,4.1,7.8,1.2,,1:06,6.5,3.3,6.6
789,Seth Jones\jonesse01,CBJ,D,0:51,75,,21:12,3.0,3.2,3.3,,2:20,-4.8,4.8,1.4,,2:16,-7.9,2.5,5.6
790,Shayne Gostisbehere\gostish01,PHI,D,0:47,78,,16:05,5.0,2.7,3.4,,3:28,8.7,6.0,1.1,,0:05,5.4,0.0,7.0
791,Shea Theodore\theodsh01,VEG,D,0:55,79,,17:30,4.0,2.4,2.6,,2:25,0.9,5.5,0.0,,0:10,0.2,4.5,4.5
792,Shea Weber\webersh01,MTL,D,0:54,58,,18:07,-1.8,3.1,2.2,,2:32,-5.7,5.3,0.8,,2:48,0.6,0.7,5.9
793,Sheldon Dries\driessh01,COL,C,0:31,40,,8:01,-6.7,1.7,3.2,,0:04,11.5,0.0,0.0,,0:58,7.8,1.5,9.2
794,Sheldon Rempal\rempash01,LAK,RW,0:40,7,,8:44,-3.9,1.0,2.0,,0:00,,,,,0:00,,,
795,Sidney Crosby\crosbsi01,PIT,C,0:44,79,,17:13,6.6,4.2,2.9,,3:11,1.0,9.8,3.0,,0:34,-0.7,2.7,6.8
796,Slater Koekkoek\koekksl01,TOT,D,0:43,31,,14:27,-11.7,2.4,2.4,,0:03,,0.0,0.0,,1:18,-13.6,0.0,0.0
797,Sonny Milano\milanso01,CBJ,LW,0:36,8,,8:07,10.5,2.8,2.8,,0:12,7.9,0.0,0.0,,0:00,,,
798,Stefan Elliott\elliost01,OTT,D,0:32,3,,8:18,13.3,4.8,2.4,,0:41,,0.0,0.0,,0:00,,,
799,Stefan Noesen\noesest01,NJD,RW,0:45,41,,12:01,-2.7,1.6,3.8,,0:41,-11.4,1.8,1.8,,0:01,-17.6,0.0,0.0
800,Stephen Gionta\giontst01,NYI,C,0:36,5,,7:41,-10.3,0.0,6.2,,0:01,,,,,1:04,-8.2,0.0,22.4
801,Steven Fogarty\fogarst01,NYR,C,0:44,10,,7:45,-5.8,0.8,1.5,,0:00,,,,,0:00,,,
802,Steven Kampfer\kampfst01,BOS,D,0:36,35,,13:05,-0.1,2.0,2.8,,0:55,-10.4,3.7,0.0,,0:36,-4.6,0.0,11.1
803,Steven Santini\santist01,NJD,D,0:43,39,,15:46,-5.2,1.8,2.4,,0:04,18.1,0.0,0.0,,0:48,-0.5,1.9,1.9
804,Steven Stamkos\stamkst01,TBL,C,0:42,82,,14:04,0.8,3.6,3.3,,3:36,6.7,12.3,0.6,,0:36,0.1,2.5,2.5
805,Sven Andrighetto\andrisv01,COL,RW,0:47,64,,9:42,-0.5,2.6,1.6,,1:14,-0.3,1.4,1.4,,0:07,14.2,0.0,16.9
806,Sven Baertschi\baertsv01,VAN,LW,0:45,26,,12:08,-0.2,2.1,3.5,,2:59,3.3,7.0,1.5,,0:01,-12.3,0.0,0.0
807,T.J. Brodie\broditj01,CGY,D,0:47,79,,18:33,3.3,3.3,2.3,,0:59,5.3,4.6,1.5,,1:55,4.0,2.8,7.9
808,T.J. Oshie\oshietj01,WSH,C/RW,1:01,69,,14:40,2.1,3.4,3.0,,3:21,6.0,9.3,0.8,,0:35,10.3,1.5,10.2
809,Tage Thompson\thompta01,BUF,C,0:35,65,,11:14,-2.2,1.3,3.0,,0:51,-7.6,2.2,2.2,,0:01,7.7,0.0,0.0
810,Tanner Fritz\fritzta01,NYI,C,0:41,8,,10:28,-6.1,0.7,2.9,,0:00,,,,,0:20,13.3,0.0,0.0
811,Tanner Pearson\pearsta01,TOT,LW,0:41,80,,12:32,-1.6,0.3,3.0,,1:14,0.9,0.0,0.0,,0:16,-10.8,0.0,0.0
812,Taro Hirose\hirosta01,DET,LW,0:54,10,,14:23,-8.5,2.9,2.5,,0:54,-11.1,6.6,13.3,,0:00,,,
813,Taylor Fedun\fedunta01,DAL,D,0:34,54,,12:39,3.4,1.9,1.7,,0:13,-4.4,10.9,3.6,,0:57,0.7,1.2,3.5
814,Taylor Hall\hallta02,NJD,LW,0:48,33,,16:14,6.5,3.8,4.0,,3:23,-0.6,7.6,2.0,,0:02,32.7,0.0,0.0
815,Teddy Blueger\bluegte01,PIT,C,0:45,28,,9:45,-2.2,2.2,1.3,,0:01,,0.0,0.0,,1:17,0.7,5.0,10.1
816,Teuvo Teravainen\teravte01,CAR,LW,0:45,82,,14:17,0.9,3.3,1.8,,2:43,4.7,7.5,1.1,,0:53,9.6,4.1,6.6
817,Thomas Chabot\chaboth01,OTT,D,0:51,70,,20:45,6.1,3.6,4.1,,2:56,5.2,7.6,0.9,,0:35,3.8,4.3,4.3
818,Thomas Hickey\hicketh01,NYI,D,0:37,40,,16:10,1.7,2.3,2.1,,0:04,11.9,0.0,0.0,,2:15,-0.3,2.7,9.3
819,Thomas Vanek\vanekth01,DET,LW,0:45,64,,11:31,-2.1,2.8,3.6,,2:34,2.0,7.6,1.1,,0:00,11.3,0.0,61.0
820,Tim Heed\heedti01,SJS,D,0:46,37,,12:57,-2.0,3.8,2.4,,1:22,-8.4,7.0,2.3,,0:01,87.5,0.0,0.0
821,Tim Schaller\schalti01,VAN,LW,0:45,47,,9:18,-2.1,2.4,2.6,,0:01,,0.0,0.0,,1:20,-0.7,0.0,8.1
822,Timo Meier\meierti01,SJS,RW,0:45,78,,14:39,2.1,3.9,3.0,,1:48,-4.3,7.2,3.0,,0:30,12.8,1.3,3.9
823,Timothy Gettinger\gettiti01,NYR,LW,0:38,4,,7:31,-9.4,2.0,2.0,,0:00,,,,,0:00,,,
824,Tobias Rieder\riedeto01,EDM,C,0:34,67,,10:57,-3.0,0.9,1.6,,0:21,-10.5,4.9,0.0,,1:19,-1.1,0.0,8.1
825,Tom Kuhnhackl\kuhnhto01,NYI,RW,0:44,36,,11:35,-4.4,2.2,2.3,,0:04,15.3,10.3,0.0,,1:00,-3.4,3.4,8.5
826,Tom Pyatt\pyattto01,OTT,C,0:38,37,,9:54,-10.0,0.8,3.6,,0:01,-79.9,0.0,0.0,,1:46,-8.5,0.9,8.2
827,Tom Wilson\wilsoto01,WSH,RW,0:53,63,,14:30,-0.4,3.7,3.2,,1:23,1.6,5.5,0.0,,2:14,-3.6,0.8,6.8
828,Tomas Hertl\hertlto01,SJS,C,0:56,77,,14:30,-0.6,4.2,3.8,,2:52,1.6,9.2,1.1,,1:38,4.1,0.9,6.9
829,Tomas Hyka\hykato01,VEG,RW,0:43,17,,9:46,8.7,2.5,3.3,,1:59,4.4,7.1,0.0,,0:00,,,
830,Tomas Nosek\nosekto01,VEG,C,0:52,68,,10:21,1.3,2.1,3.2,,0:23,-2.1,2.0,0.0,,1:42,-10.3,1.0,5.2
831,Tomas Plekanec\plekato01,MTL,C,0:30,3,,9:20,-3.1,4.3,4.3,,0:05,9.3,0.0,0.0,,1:26,-8.2,0.0,27.7
832,Tomas Tatar\tatarto01,MTL,C,0:40,80,,14:07,7.9,3.4,2.2,,2:15,3.2,4.6,0.3,,0:01,85.8,0.0,0.0
833,Torey Krug\krugto01,BOS,D,0:47,64,,17:22,3.5,2.8,2.3,,3:42,3.3,10.9,2.8,,0:12,3.6,0.0,16.9
834,Travis Boyd\boydtr01,WSH,C,0:47,53,,8:59,-1.3,3.3,2.5,,0:15,-5.9,8.6,0.0,,0:34,-8.4,0.0,15.8
835,Travis Dermott\dermotr01,TOR,D,0:34,64,,16:07,5.2,2.6,2.9,,0:07,-8.4,4.4,0.0,,1:03,-8.6,0.0,2.7
836,Travis Hamonic\hamontr01,CGY,D,0:46,69,,17:48,-1.4,3.5,2.9,,0:12,-19.6,4.0,4.0,,2:51,-8.0,3.1,6.4
837,Travis Konecny\konectr01,PHI,C,0:41,82,,13:37,2.2,3.0,3.0,,1:37,-4.2,5.9,1.8,,0:00,-14.4,0.0,0.0
838,Travis Sanheim\sanhetr01,PHI,D,0:47,82,,17:55,1.3,3.0,3.0,,1:02,-10.6,4.3,2.2,,0:35,3.1,0.0,8.0
839,Travis Zajac\zajactr01,NJD,C,0:52,80,,13:54,0.6,2.5,3.9,,2:38,3.0,6.2,1.4,,2:43,6.1,1.6,5.8
840,Trent Frederic\fredetr01,BOS,C,0:41,15,,8:57,-4.5,0.0,1.8,,0:20,-27.6,11.8,0.0,,0:06,-12.9,0.0,35.6
841,Trevor Carrick\carritr01,CAR,D,0:53,1,,11:29,-2.4,0.0,5.2,,0:00,,,,,0:00,,,
842,Trevor Daley\daleytr01,DET,D,0:43,44,,15:51,-7.1,2.6,3.1,,0:05,-36.1,0.0,0.0,,2:36,-5.4,1.6,8.4
843,Trevor Lewis\lewistr01,LAK,C,0:45,44,,12:28,3.1,2.0,3.0,,0:05,-16.4,0.0,0.0,,1:26,-6.3,0.0,8.5
844,Trevor Moore\mooretr01,TOR,LW,0:41,25,,8:49,-2.3,2.4,2.2,,0:14,-4.5,0.0,0.0,,0:01,-18.3,0.0,0.0
845,Trevor van Riemsdyk\vanritr01,CAR,D,0:47,78,,13:58,-0.7,2.1,2.4,,0:03,0.5,0.0,0.0,,1:01,7.7,0.0,9.8
846,Troy Brouwer\brouwtr01,FLA,RW,0:35,75,,10:44,-2.9,2.2,2.8,,0:17,-4.4,2.8,0.0,,1:39,-4.3,0.5,5.8
847,Troy Stecher\stechtr01,VAN,D,0:33,78,,17:35,3.6,2.4,2.1,,0:52,-3.3,2.6,0.9,,1:26,5.1,1.5,4.6
848,Troy Terry\terrytr01,ANA,C/RW,0:44,32,,12:01,1.1,2.5,1.1,,1:52,6.4,10.7,1.0,,0:02,-10.5,0.0,0.0
849,Ty Rattie\rattity01,EDM,RW,0:53,50,,10:27,0.0,2.0,2.1,,0:53,2.5,6.8,1.4,,0:00,,0.0,0.0
850,Tyler Bertuzzi\bertuty01,DET,LW,0:52,73,,14:46,2.8,3.4,2.7,,1:43,4.0,6.7,0.5,,0:00,20.0,0.0,0.0
851,Tyler Bozak\bozakty01,STL,C,0:48,72,,12:41,-1.0,2.6,2.7,,2:23,3.6,6.6,0.3,,1:16,-5.4,0.0,9.5
852,Tyler Ennis\ennisty01,TOR,C,0:56,51,,8:19,-5.3,2.1,2.6,,1:36,-3.8,4.9,2.1,,0:00,,,
853,Tyler Johnson\johnsty01,TBL,C,0:43,80,,13:52,-0.9,3.8,3.0,,1:35,1.2,8.9,0.0,,0:28,-3.4,1.6,6.5
854,Tyler Lewington\lewinty01,WSH,D,0:45,2,,13:14,13.8,6.8,0.0,,0:00,,,,,0:33,100.0,0.0,0.0
855,Tyler Motte\mottety01,VAN,C,0:42,74,,11:01,-6.4,1.7,2.8,,0:02,13.2,0.0,0.0,,1:42,-1.2,1.4,5.1
856,Tyler Myers\myersty01,WPG,D,1:00,80,,17:02,-0.2,2.9,2.6,,1:09,-1.6,9.3,1.3,,2:09,0.5,1.7,9.3
857,Tyler Pitlick\pitlity01,DAL,C,0:40,47,,11:53,-0.6,1.9,2.3,,0:41,1.8,5.6,0.0,,0:48,-5.1,1.6,7.8
858,Tyler Seguin\seguity01,DAL,C,0:41,82,,16:53,3.6,3.2,2.4,,2:59,3.0,8.5,0.5,,0:52,3.5,0.0,10.2
859,Tyler Toffoli\toffoty01,LAK,C,0:44,82,,13:51,6.1,2.3,2.9,,2:03,-2.9,5.3,2.5,,1:17,7.9,0.5,7.7
860,Tyrell Goulbourne\goulbty01,PHI,LW,0:40,2,,7:24,0.5,0.0,0.0,,0:00,,,,,0:00,,,
861,Tyson Barrie\barrity01,COL,D,0:57,78,,17:40,4.5,3.0,2.9,,4:02,-1.7,7.7,0.6,,0:03,62.1,0.0,11.9
862,Tyson Jost\jostty01,COL,C,0:44,70,,10:56,-1.6,2.4,2.4,,2:03,-2.7,4.9,0.4,,0:00,,0.0,0.0
863,Urho Vaakanainen\vaakaur01,BOS,D,0:43,2,,8:39,9.8,0.0,3.5,,0:00,,,,,0:26,-3.6,0.0,0.0
864,Valentin Zykov\zykovva01,TOT,LW,0:51,28,,8:28,1.7,1.7,3.3,,1:28,-12.2,7.2,0.0,,0:00,,,
865,Valeri Nichushkin\nichuva01,DAL,RW,0:41,57,,11:16,0.9,1.9,2.3,,0:20,-9.0,6.2,0.0,,0:18,16.8,3.6,3.6
866,Valtteri Filppula\filppva01,NYI,C,0:50,72,,11:47,-4.1,3.0,1.8,,0:37,1.5,3.8,0.0,,1:50,-0.1,0.9,4.1
